frame_idx,timestamp,blur_score,brightness_score,contrast_score,occlusion_score,global_score,var_laplacian,mean_brightness,sat_ratio,std_gray,edge_density,blocked_ratio,global_level,blur_level,brightness_level,contrast_level,qc_blur_level,qc_occlusion_level,qc_light_level,qc_blur_alert,qc_occlusion_alert,qc_light_alert,stab_dx,stab_dy,stab_mag,stab_vibration_rms,stab_level,stab_accum_x,stab_accum_y,mot_num_regions,mot_area_ratio,mot_level
20,1764819379.2278955,25.031322828560704,99.76410590277777,35.361437818368145,0.0,43.19113857062075,200.0626456571214,107.65309787326389,0.0011794704861111112,40.912647018265666,0.0024696180555555556,0.059512803819444446,CRITICAL,CRITICAL,OK,CRITICAL,CRITICAL,CRITICAL,OK,1,1,0,0.0,0.0,0.0,0.00027481975848786533,STABLE,0.000225067138671875,-0.001178741455078125,0,0.0,NONE
21,1764819379.447465,25.028912354184367,99.76388888888889,35.36010329148783,0.0,43.19073485521166,200.05782470836874,107.65729383680555,0.0011805555555555556,40.912046481169526,0.002495659722222222,0.05944118923611111,CRITICAL,CRITICAL,OK,CRITICAL,CRITICAL,CRITICAL,OK,1,1,0,0.0,0.0,0.0,0.00026819659979082644,STABLE,0.000225067138671875,-0.001178741455078125,0,0.0,NONE
22,1764819379.4929655,25.036481773939272,99.76323784722221,35.356503590573254,0.0,43.19291603855234,200.07296354787854,107.66556857638889,0.001183810763888889,40.91042661575796,0.00251953125,0.05939236111111111,CRITICAL,CRITICAL,OK,CRITICAL,CRITICAL,CRITICAL,OK,1,1,0,0.0,0.0,0.0,0.00026203037123195827,STABLE,0.000225067138671875,-0.001178741455078125,0,0.0,NONE
23,1764819379.5300722,25.084926899038706,99.76345486111111,35.35187824053469,0.0,43.20968637084156,200.1698537980774,107.66823676215277,0.0011827256944444444,40.90834520824061,0.0025162760416666667,0.059420572916666664,CRITICAL,CRITICAL,OK,CRITICAL,CRITICAL,CRITICAL,OK,1,1,0,0.0,7.62939453125e-05,7.62939453125e-05,0.0002567640331108123,STABLE,0.000225067138671875,-0.001102447509765625,0,0.0,NONE
24,1764819379.58719,25.676903529526868,99.76540798611111,35.356275655971196,0.0,43.43735572488218,201.35380705905374,107.62192491319445,0.0011729600694444444,40.91032404518704,0.0025737847222222225,0.05982638888888889,CRITICAL,CRITICAL,OK,CRITICAL,CRITICAL,CRITICAL,OK,1,1,0,0.00048828125,0.00103759765625,0.0011467464738803672,0.0003434728423599154,STABLE,0.000713348388671875,-6.4849853515625e-05,0,0.0,NONE
25,1764819379.804019,25.38195660683843,99.76671006944444,35.34983688453977,0.0,43.3248234226024,200.76391321367686,107.65771918402778,0.0011664496527777778,40.907426598042896,0.0025965711805555555,0.05948784722222222,CRITICAL,CRITICAL,OK,CRITICAL,CRITICAL,CRITICAL,OK,1,1,0,0.00030517578125,0.0002593994140625,0.00040052504725362207,0.0003459356084931642,STABLE,0.001018524169921875,0.000194549560546875,0,0.0,NONE
26,1764819379.840927,25.330703485276356,99.76671006944444,35.35396347090066,0.0,43.31049719632638,200.66140697055272,107.67507378472222,0.0011664496527777778,40.9092835619053,0.0025434027777777777,0.05922092013888889,CRITICAL,CRITICAL,OK,CRITICAL,CRITICAL,CRITICAL,OK,1,1,0,-0.000118255615234375,4.57763671875e-05,0.00012680641280055741,0.0003401281719561666,STABLE,0.0009002685546875,0.000240325927734375,0,0.0,NONE
27,1764819379.891051,25.297088150094453,99.76801215277777,35.35959378154235,0.0,43.30010927918231,200.5941763001889,107.68290473090278,0.0011599392361111112,40.911817201694056,0.0025390625,0.059200303819444446,CRITICAL,CRITICAL,OK,CRITICAL,CRITICAL,CRITICAL,OK,1,1,0,3.814697265625e-05,-7.62939453125e-06,3.8902431591741825e-05,0.0003338540263939649,STABLE,0.00093841552734375,0.000232696533203125,0,0.0,NONE
28,1764819379.9276955,25.222733711001894,99.767578125,35.406981563464846,0.0,43.28966256708966,200.4454674220038,107.70719509548611,0.001162109375,40.93314170355918,0.0025379774305555555,0.05918728298611111,CRITICAL,CRITICAL,OK,CRITICAL,CRITICAL,CRITICAL,OK,1,1,0,0.0,4.57763671875e-05,4.57763671875e-05,0.00032795226434245706,STABLE,0.00093841552734375,0.000278472900390625,0,0.0,NONE
29,1764819380.1401947,25.219087716985044,99.76801215277777,35.430170149003715,0.0,43.2974698411337,200.4381754339701,107.71834418402777,0.0011599392361111112,40.94357656705167,0.002546657986111111,0.05918294270833333,CRITICAL,CRITICAL,OK,CRITICAL,CRITICAL,CRITICAL,OK,1,1,0,0.0,0.0,0.0,0.00032224832102656364,STABLE,0.00093841552734375,0.000278472900390625,0,0.0,NONE
30,1764819380.170634,25.22556113932518,99.76671006944444,35.44058584999697,0.0,43.304955698814084,200.45112227865036,107.72143337673612,0.0011664496527777778,40.94826363249864,0.0025238715277777777,0.05911024305555555,CRITICAL,CRITICAL,OK,CRITICAL,CRITICAL,CRITICAL,OK,1,1,0,0.0,0.0,0.0,0.0003168319817632437,STABLE,0.00093841552734375,0.000278472900390625,0,0.0,NONE
31,1764819380.2130375,25.229940552647335,99.76627604166667,35.456772743814405,0.0,43.310474708112196,200.45988110529467,107.73083658854166,0.0011686197916666668,40.95554773471648,0.002541232638888889,0.059268663194444446,CRITICAL,CRITICAL,OK,CRITICAL,CRITICAL,CRITICAL,OK,1,1,0,4.57763671875e-05,1.52587890625e-05,4.825252777356536e-05,0.00022426072973757982,STABLE,0.00098419189453125,0.000293731689453125,0,0.0,NONE
32,1764819380.2514021,25.79505947533123,99.76649305555556,35.11242280189172,0.0,43.40941362667692,201.59011895066246,107.54495551215278,0.0011675347222222222,40.80059026085127,0.0025520833333333333,0.058467881944444446,CRITICAL,CRITICAL,OK,CRITICAL,CRITICAL,CRITICAL,OK,1,1,0,0.00885009765625,0.0260772705078125,0.02753812385880326,0.005032749380916357,STABLE,0.00983428955078125,0.026371002197265625,0,0.0,NONE
33,1764819380.4320378,25.56304065849811,99.76388888888889,35.215522678729215,0.0,43.353902763315475,201.12608131699622,107.58894965277777,0.0011805555555555556,40.84698520542815,0.0025477430555555557,0.05875759548611111,CRITICAL,CRITICAL,OK,CRITICAL,CRITICAL,CRITICAL,OK,1,1,0,-0.00067138671875,-0.000244140625,0.0007143981879101334,0.005034434609115124,STABLE,0.00916290283203125,0.026126861572265625,7,0.0114453125,HIGH
34,1764819380.4679852,25.419980622265072,99.76388888888889,35.24779885213382,0.0,43.306789152554536,200.83996124453014,107.60179904513889,0.0011805555555555556,40.86150948346022,0.0025477430555555557,0.058997395833333334,CRITICAL,CRITICAL,OK,CRITICAL,CRITICAL,CRITICAL,OK,1,1,0,6.103515625e-05,6.103515625e-05,8.631674575031098e-05,0.00503445602953434,STABLE,0.00922393798828125,0.026187896728515625,7,0.0114453125,HIGH
35,1764819380.4975462,25.39182798480752,99.76323784722221,35.27621469425857,0.0,43.30577392026213,200.78365596961504,107.60991102430556,0.001183810763888889,40.87429661241636,0.002556423611111111,0.059061414930555556,CRITICAL,CRITICAL,OK,CRITICAL,CRITICAL,CRITICAL,OK,1,1,0,-3.4332275390625e-05,-0.0001068115234375,0.00011219361244089311,0.005034497939050198,STABLE,0.009189605712890625,0.026081085205078125,8,0.012981770833333333,HIGH
36,1764819380.5377946,25.409156659576045,99.76410590277777,35.28842636157555,0.0,43.31605438559483,200.81831331915208,107.60755967881944,0.0011794704861111112,40.879791862709,0.0025401475694444443,0.05915581597222222,CRITICAL,CRITICAL,OK,CRITICAL,CRITICAL,CRITICAL,OK,1,1,0,0.0,0.0,0.0,0.005034497007727623,STABLE,0.009189605712890625,0.026081085205078125,8,0.012981770833333333,HIGH
37,1764819380.7317839,25.408048760588358,99.76388888888889,35.319162755129426,0.0,43.32899571529467,200.81609752117672,107.60560763888888,0.0011805555555555556,40.89362323980824,0.0025499131944444445,0.059066840277777775,CRITICAL,CRITICAL,OK,CRITICAL,CRITICAL,CRITICAL,OK,1,1,0,4.9591064453125e-05,-3.0517578125e-05,5.822882660855769e-05,0.005034508183598518,STABLE,0.00923919677734375,0.026050567626953125,4,0.0072743055555555556,LOW
38,1764819380.7631838,25.449047147903915,99.763671875,35.363730040616176,0.0,43.362219671951564,200.89809429580782,107.61253255208334,0.001181640625,40.91367851827728,0.0025314670138888887,0.05908311631944444,CRITICAL,CRITICAL,OK,CRITICAL,CRITICAL,CRITICAL,OK,1,1,0,0.0,0.0,0.0,0.005034507717937231,STABLE,0.00923919677734375,0.026050567626953125,4,0.0072743055555555556,LOW
39,1764819380.7954426,25.402021214228498,99.76519097222221,35.399385362869225,0.0,43.357070993094766,200.804042428457,107.61882486979167,0.001174045138888889,40.92972341329115,0.002495659722222222,0.05914713541666667,CRITICAL,CRITICAL,OK,CRITICAL,CRITICAL,CRITICAL,OK,1,1,0,0.0,0.0,0.0,0.005034507717937231,STABLE,0.00923919677734375,0.026050567626953125,5,0.00921875,LOW
40,1764819380.8401585,25.37624269365321,99.76605902777777,35.4362086796291,0.0,43.36161791830122,200.75248538730642,107.63023654513889,0.0011697048611111112,40.946293905833095,0.002506510416666667,0.05914388020833333,CRITICAL,CRITICAL,OK,CRITICAL,CRITICAL,CRITICAL,OK,1,1,0,6.103515625e-05,3.814697265625e-05,7.197556405682833e-05,0.0050345249474048615,STABLE,0.00930023193359375,0.026088714599609375,5,0.00921875,LOW
41,1764819381.0530574,25.37276507941291,99.76584201388889,35.47766031956778,0.0,43.3761141644462,200.74553015882583,107.64824652777777,0.0011707899305555556,40.9649471438055,0.0025108506944444445,0.059165581597222225,CRITICAL,CRITICAL,OK,CRITICAL,CRITICAL,CRITICAL,OK,1,1,0,0.0,0.0,0.0,0.0050345249474048615,STABLE,0.00930023193359375,0.026088714599609375,0,0.0,NONE
42,1764819381.097409,25.367459876702743,99.76627604166667,35.50243206295146,0.0,43.3895448609033,200.73491975340548,107.6628537326389,0.0011686197916666668,40.97609442832816,0.00251953125,0.05879665798611111,CRITICAL,CRITICAL,OK,CRITICAL,CRITICAL,CRITICAL,OK,1,1,0,3.4332275390625e-05,1.52587890625e-05,3.7570410926041046e-05,0.0050345296040177345,STABLE,0.009334564208984375,0.026103973388671875,0,0.0,NONE
43,1764819381.1322994,27.270199266212376,99.76627604166667,35.54326383155572,0.0,44.151334269633914,204.54039853242475,107.67654622395834,0.0011686197916666668,40.994468724200075,0.0024793836805555554,0.05877387152777778,CRITICAL,CRITICAL,OK,CRITICAL,CRITICAL,CRITICAL,OK,1,1,0,0.0,4.57763671875e-05,4.57763671875e-05,0.005034536588937044,STABLE,0.009334564208984375,0.026149749755859375,0,0.0,NONE
44,1764819381.1664443,27.27582875158994,99.76605902777777,35.58005748881789,0.0,44.16798044916683,204.55165750317988,107.68660590277777,0.0011697048611111112,41.01102586996805,0.0024609375,0.05876953125,CRITICAL,CRITICAL,OK,CRITICAL,CRITICAL,CRITICAL,OK,1,1,0,5.14984130859375e-05,1.1444091796875e-05,5.275465654731495e-05,0.005034545436501503,STABLE,0.009386062622070312,0.02616119384765625,0,0.0,NONE
45,1764819381.3514025,27.258432923020255,99.76714409722223,35.62691407558631,0.0,44.17719956432586,204.5168658460405,107.69697048611111,0.001164279513888889,41.03211133401384,0.0024500868055555556,0.058930121527777775,CRITICAL,CRITICAL,OK,CRITICAL,CRITICAL,CRITICAL,OK,1,1,0,2.288818359375e-05,0.0,2.288818359375e-05,0.005034541245549917,STABLE,0.009408950805664062,0.02616119384765625,0,0.0,NONE
46,1764819381.3858695,27.269903601935468,99.76627604166667,35.66096516655171,0.0,44.1961308557981,204.53980720387094,107.70850911458334,0.0011686197916666668,41.04743432494827,0.0024522569444444444,0.05884982638888889,CRITICAL,CRITICAL,OK,CRITICAL,CRITICAL,CRITICAL,OK,1,1,0,0.0,-5.7220458984375e-05,5.7220458984375e-05,0.005034549627453089,STABLE,0.009408950805664062,0.026103973388671875,0,0.0,NONE
47,1764819381.423538,27.318807209683644,99.76649305555556,35.69415532887529,0.0,44.22833450404222,204.63761441936728,107.72545030381944,0.0011675347222222222,41.06236989799388,0.0024576822916666666,0.05884982638888889,CRITICAL,CRITICAL,OK,CRITICAL,CRITICAL,CRITICAL,OK,1,1,0,0.0,3.814697265625e-05,3.814697265625e-05,0.005034554284065962,STABLE,0.009408950805664062,0.026142120361328125,0,0.0,NONE
48,1764819381.4709187,27.744739858118113,99.76692708333333,35.6888158819653,0.0,44.39730568077519,205.48947971623622,107.69083441840277,0.0011653645833333334,41.05996714688438,0.0025043402777777776,0.05859049479166667,CRITICAL,CRITICAL,OK,CRITICAL,CRITICAL,CRITICAL,OK,1,1,0,0.00030517578125,0.002777099609375,0.0027938171912013725,0.005060327704995871,STABLE,0.009714126586914062,0.028919219970703125,0,0.0,NONE
49,1764819381.652936,27.37033881165718,99.76953125,35.72495997175669,0.0,44.26508170758347,204.74067762331435,107.73832899305556,0.00115234375,41.07623198729051,0.002536892361111111,0.058603515625,CRITICAL,CRITICAL,OK,CRITICAL,CRITICAL,CRITICAL,OK,1,1,0,0.0,0.0,0.0,0.005060327704995871,STABLE,0.009714126586914062,0.028919219970703125,0,0.0,NONE
50,1764819381.6915987,27.309532150456945,99.76909722222223,35.74833934400598,0.0,44.2502298965261,204.6190643009139,107.754716796875,0.001154513888888889,41.08675270480269,0.0025531684027777775,0.058610026041666666,CRITICAL,CRITICAL,OK,CRITICAL,CRITICAL,CRITICAL,OK,1,1,0,2.288818359375e-05,-9.1552734375e-05,9.437039853556046e-05,0.005060357041656971,STABLE,0.009737014770507812,0.028827667236328125,0,0.0,NONE
51,1764819381.725312,27.275674145846295,99.7693142361111,35.78145634565079,0.0,44.250359541025524,204.5513482916926,107.76536783854166,0.0011534288194444443,41.10165535554285,0.00251953125,0.05858615451388889,CRITICAL,CRITICAL,OK,CRITICAL,CRITICAL,CRITICAL,OK,1,1,0,-7.62939453125e-06,7.62939453125e-06,1.0789593218788873e-05,0.005060357507318258,STABLE,0.009729385375976562,0.028835296630859375,0,0.0,NONE
52,1764819381.7685273,27.27692212528126,99.76866319444444,35.57747404911105,0.0,44.17037296243554,204.55384425056252,107.56089301215277,0.0011566840277777777,41.009863322099974,0.0025010850694444447,0.05861328125,CRITICAL,CRITICAL,OK,CRITICAL,CRITICAL,CRITICAL,OK,1,1,0,-0.00025272369384765625,0.0,0.00025272369384765625,0.005060567986220121,STABLE,0.009476661682128906,0.028835296630859375,0,0.0,NONE
53,1764819381.94558,27.279043817117497,99.76888020833333,35.588652539384576,0.0,44.17596897115503,204.558087634235,107.52734483506944,0.0011555989583333333,41.01489364272306,0.00251953125,0.05859157986111111,CRITICAL,CRITICAL,OK,CRITICAL,CRITICAL,CRITICAL,OK,1,1,0,3.147125244140625e-05,6.103515625e-05,6.867117320020558e-05,0.005060563795268536,STABLE,0.009508132934570312,0.028896331787109375,0,0.0,NONE
54,1764819381.9822474,27.26700835831019,99.76866319444444,35.60286244490732,0.0,44.17477437075969,204.53401671662039,107.51127061631945,0.0011566840277777777,41.021288100208295,0.002514105902777778,0.05871853298611111,CRITICAL,CRITICAL,OK,CRITICAL,CRITICAL,CRITICAL,OK,1,1,0,-7.867813110351562e-06,3.814697265625e-06,8.743820581861615e-06,0.005056231748312712,STABLE,0.009500265121459961,0.028900146484375,0,0.0,NONE
55,1764819382.020022,27.2542446352264,99.77039930555556,35.62942932093425,0.0,44.18214966348675,204.5084892704528,107.50904730902778,0.0011480034722222221,41.033243194420415,0.002494574652777778,0.05861545138888889,CRITICAL,CRITICAL,OK,CRITICAL,CRITICAL,CRITICAL,OK,1,1,0,0.0,-7.62939453125e-06,7.62939453125e-06,0.00505570275709033,STABLE,0.009500265121459961,0.02889251708984375,0,0.0,NONE
56,1764819382.062416,27.24124228072695,99.77083333333333,35.661001620344514,0.0,44.18966448003647,204.4824845614539,107.50990451388888,0.0011458333333333333,41.04745072915503,0.0024999999999999996,0.05860568576388889,CRITICAL,CRITICAL,OK,CRITICAL,CRITICAL,CRITICAL,OK,1,1,0,0.0,0.0,0.0,0.005055649671703577,STABLE,0.009500265121459961,0.02889251708984375,0,0.0,NONE
57,1764819382.2528045,27.200136599609,99.77083333333333,35.69170974483485,0.0,44.18512820422371,204.400273199218,107.5154296875,0.0011458333333333333,41.061269385175684,0.002494574652777778,0.05863498263888889,CRITICAL,CRITICAL,OK,CRITICAL,CRITICAL,CRITICAL,OK,1,1,0,2.6702880859375e-05,0.0,2.6702880859375e-05,0.005055646877735853,STABLE,0.009526968002319336,0.02889251708984375,0,0.0,NONE
